File Copy;A simple block file copy;copy;useless string
Force 720p;Force aspect to 16/9 and resolution to 720p;ffmpeg;-aspect 16:9 -s 1280x720 -sameq
Deinterlace;Deinterlace video track -> MP4;ffmpeg;-strict experimental -vf 'yadif=0.-1:0, scale=trunc(iw/2)*2:trunc(ih/2)*2' -sameq
Speed-up 2x;Speed-up video track by a factor of 2, remove audio -> MP4;ffmpeg;-strict experimental -vf 'setpts=0.5*PTS' -sameq
Negate;Negate video track -> MP4;ffmpeg;-strict experimental -vf 'negate' -sameq
Tablet 480p/25 v2;Experimental 480p for tablets (480p/25 at 400kbps in main profile with low-latency);ffmpeg;-r 25 -deinterlace -c:v libx264 -profile:v main -preset slow -tune zerolatency  -pix_fmt yuv420p -strict experimental -b:v 400k -maxrate 400k -bufsize 800k -vf scale=-1:480 -acodec aac -ac 2 -ar 44100 -ab 96k -f mp4 -movflags +faststart
Tablet 480p/25;480p for tablets (480p/25 at 400kbps in main profile with low-latency);ffmpeg;-r 25 -c:v libx264 -profile:v main -preset slow -tune zerolatency -pix_fmt yuv420p -strict experimental -b:v 400k -maxrate 400k -bufsize 800k -vf scale='trunc(oh*a/2)*2:min(480\,iw)' -acodec aac -ac 2 -ar 44100 -ab 96k -f mp4
HQ PAL-SD;High-quality SD for archive/storage (PAL at 1Mbps in high profile);ffmpeg;-c:v libx264 -profile:v high -preset slower -b:v 1000k -vf scale=-1:576 -acodec aac -ar 196k -f mp4
DASH-1;From DashCast website;dashcast;-seg-dur 1000 -frag-dur 200
EBU XDCAMHD422;1080p/50 to 1080i/25 interlacing conversion and mpeg2 compression with 4 mono audio streams;ffmpeg;-vf "tinterlace=4" -target xdcamhd422 -r 25 -tff -aspect 16:9 -acodec pcm_s16le -ar 48000 -ac 4 -map_audio_channel 0:1:0:0:1:0 -map_audio_channel 0:2:0:0:2:0 -map_audio_channel 0:3:0:0:3:0 -map_audio_channel 0:4:0:0:4:0
EBU IXM30;1080p50 to 608i/25 with SD safe zone padding, color matrix bt709 to bt601 conversion and mpeg2 compression muxed with one 4-channels audio stream;ffmpeg;-threads 4 -vf "scale=0:0:interl=0,format=yuv422p,pad=1968:1080:24:0:black,scale=720:576:interl=0, format=yuv422p,tinterlace=4,colormatrix=bt709:bt601,pad=720:608:0:32:black[out]" -r 25 -tff -aspect 16:9 -pix_fmt yuv422p -vcodec mpeg2video -minrate 30000k -maxrate 30000k -b 30000k -bufsize 1200000 -rc_init_occupancy 1200000 -flags +ildct+ilme+low_delay -flags2 +ivlc+non_linear_q -qscale 1 -ps 1 -qmin 1 -rc_max_vbv_use 1 -rc_min_vbv_use 1 -dc 10 -intra -acodec pcm_s16le -ar 48000 -ac 4 -map_audio_channel 0:1:0:0:1:0 -map_audio_channel 0:2:0:0:1:1 -map_audio_channel 0:3:0:0:1:2 -map_audio_channel 0:4:0:0:1:3 -f mxf_d10
EBU 1080i/25;HD interlaced, not recommended on the video player due to CPU requirements;ffmpeg;-vf "tinterlace=4" -vcodec prores -profile hq -r 25 -b 100M -tff -acodec pcm_s16le -ar 48000 -ac 4 -map_audio_channel 0:1:0:0:1:0 -map_audio_channel 0:2:0:0:1:1 -map_audio_channel 0:3:0:0:1:2 -map_audio_channel 0:4:0:0:1:3
EBU 720p/50;HD progressive, recommended by EBU;ffmpeg;-vf "scale=1280:720" -vcodec prores -profile hq -r 50 -b 80M -acodec pcm_s16le -ar 48000 -ac 4 -map_audio_channel 0:1:0:0:1:0 -map_audio_channel 0:2:0:0:1:1 -map_audio_channel 0:3:0:0:1:2 -map_audio_channel 0:4:0:0:1:3
EBU 576i/25;The good old SD PAL;ffmpeg;-vf "pad=1968:1080:24:0:black,scale=720:576,colormatrix=bt709:bt601,tinterlace=4" -vcodec prores -profile hq -r 25 -b 50M -tff -acodec pcm_s16le -ar 48000 -ac 4 -map_audio_channel 0:1:0:0:1:0 -map_audio_channel 0:2:0:0:1:1 -map_audio_channel 0:3:0:0:1:2 -map_audio_channel 0:4:0:0:1:3
